RS1A_GT_CLS_RT,A0101
RS1_PR1_KSW_RT,A0102
RS1_PR2_KSW_RT,A0103
RS1_SRCH_SET_KSW_RT,A0104
KYBNK_S_CMPLT_RT,A0105
RT1A_GT_CLS_RT,A0106
RT1B_GT_CLS_RT,A0109
RT1_PR1_KSW_RT,A0110
RT1_PR2_KSW_RT,A0107
RT1_SRCH_SET_KSW_RT,A0108
RS2A_GT_CLS_RT,A0115
RS2_PR1_KSW_RT,A0116
RS2_PR2_KSW_RT,A0201
RS2_SRCH_SET_KSW_RT,A0202
RS2_406_SDR_CLS_RT,A0203
RS2_406_WDR_CLS_RT,A0204
RS2_406_PR1_KSW_RT,A0205
RS2_406_PR2_KSW_RT,A0206
RS2_407_SDR_CLS_RT,A0207
RS2_407_NDR_CLS_RT,A0208
RS2_407_EDR_CLS_RT,A0209
RS2_407_PR1_KSW_RT,A0210
RS2_407_PR2_KSW_RT,A0211
RS3A_GT_CLS_RT,A0212
RS3B_GT_CLS_RT,A0213
RS3C_GT_CLS_RT,A0214
RS3_PR1_KSW_RT,A0215
RS3_PR2_KSW_RT,A0216
RS3_SRCH_SET_KSW_RT,A0301
RS3_911_EDR_CLS_RT,A0302
RS3_911_PR1_KSW_RT,A0303
RS3_911_PR2_KSW_RT,A0304
RS2_406_RUDR_CLS_RT,A0305
ACR_HW_EN_RT,A0306
RS4_912_WDR_CLS_RT,A0307
RS4_912_PR1_KSW_RT,A0308
RS4_912_PR2_KSW_RT,A0311
RS4A_GT_CLS_RT,A0309
RS4C_GT_CLS_RT,A0310
RS4_PR2_KSW_RT,A0312
RS4_SRCH_SET_KSW_RT,A0313
RS4B_GT_CLS_RT,A0314
RS4_PR1_KSW_RT,A0315
RS5_913_SDR_CLS_RT,A0316
RS5_913_WDR_CLS_RT,A0401
RS5_913_PR1_KSW_RT,A0402
RS5_913_PR2_KSW_RT,A0403
RS5A_GT_CLS_RT,A0404
RS5C_GT_CLS_RT,A0405
RS5_PR2_KSW_RT,A0406
RS5_SRCH_SET_KSW_RT,A0407
KYBNK_N_CMPLT_RT,A0408
RS5B_GT_CLS_RT,A0409
RS5_PR1_KSW_RT,A0410
RS5DE_GT_CLS_RT,A0411
RS1_PR1_TESTBTN_RT,A0416
RS1_PR2_TESTBTN_RT,A0501
RS1_SRCH_SET_TESTBTN_RT,A0502
RT1_PR1_TESTBTN_RT,A0503
RT1_PR2_TESTBTN_RT,A0504
RT1_SRCH_SET_TESTBTN_RT,A0505
RS2_PR1_TESTBTN_RT,A0506
RS2_PR2_TESTBTN_RT,A0507
RS2_SRCH_SET_TESTBTN_RT,A0508
RS2_406_PR1_TESTBTN_RT,A0509
RS2_406_PR2_TESTBTN_RT,A0510
RS2_407_PR1_TESTBTN_RT,A0511
RS2_407_PR2_TESTBTN_RT,A0512
RS3_PR1_TESTBTN_RT,A0513
RS3_PR2_TESTBTN_RT,A0514
RS3_SRCH_SET_TESTBTN_RT,A0515
RS3_911_PR1_TESTBTN_RT,A0516
RS3_911_PR2_TESTBTN_RT,A0601
RS4_PR1_TESTBTN_RT,A0602
RS4_PR2_TESTBTN_RT,A0603
RS4_SRCH_SET_TESTBTN_RT,A0604
RS4_912_PR1_TESTBTN_RT,A0605
RS4_912_PR2_TESTBTN_RT,A0606
RS5_PR1_TESTBTN_RT,A0607
RS5_PR2_TESTBTN_RT,A0608
RS5_SRCH_SET_TESTBTN_RT,A0609
RS5_913_PR1_TESTBTN_RT,A0610
RS5_913_PR2_TESTBTN_RT,A0611
